YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,OO,6338,N578SW,PSP,LAX,922,920.0,-2.0,13.0,933.0,56.0,64.0,30.0,110,1003.0,21.0,1018,1024.0,6.0,0,0,,,,,,
2015,1,1,4,OO,6312,N562SW,PSP,LAX,1125,1127.0,2.0,13.0,1140.0,59.0,50.0,29.0,110,1209.0,8.0,1224,1217.0,-7.0,0,0,,,,,,
2015,1,1,4,OO,6429,N586SW,PSP,LAX,1450,1455.0,5.0,13.0,1508.0,52.0,65.0,28.0,110,1536.0,24.0,1542,1600.0,18.0,0,0,,13.0,0.0,0.0,5.0,0.0
2015,1,1,4,OO,6302,N568SW,PSP,LAX,1743,1806.0,23.0,8.0,1814.0,47.0,43.0,30.0,110,1844.0,5.0,1830,1849.0,19.0,0,0,,0.0,0.0,0.0,19.0,0.0
2015,1,1,4,OO,6445,N569SW,PSP,LAX,1928,1918.0,-10.0,10.0,1928.0,52.0,49.0,25.0,110,1953.0,14.0,2020,2007.0,-13.0,0,0,,,,,,
2015,1,2,5,OO,6442,N582SW,PSP,LAX,922,920.0,-2.0,11.0,931.0,56.0,52.0,32.0,110,1003.0,9.0,1018,1012.0,-6.0,0,0,,,,,,
2015,1,2,5,OO,6312,N586SW,PSP,LAX,1125,1127.0,2.0,6.0,1133.0,59.0,55.0,30.0,110,1203.0,19.0,1224,1222.0,-2.0,0,0,,,,,,
2015,1,2,5,OO,6429,N584SW,PSP,LAX,1450,1503.0,13.0,8.0,1511.0,52.0,38.0,27.0,110,1538.0,3.0,1542,1541.0,-1.0,0,0,,,,,,
2015,1,2,5,OO,6302,N584SW,PSP,LAX,1743,1737.0,-6.0,6.0,1743.0,47.0,38.0,29.0,110,1812.0,3.0,1830,1815.0,-15.0,0,0,,,,,,
2015,1,2,5,OO,6445,N235SW,PSP,LAX,1928,1931.0,3.0,9.0,1940.0,52.0,59.0,28.0,110,2008.0,22.0,2020,2030.0,10.0,0,0,,,,,,
2015,1,3,6,OO,6312,N579SW,PSP,LAX,1125,1225.0,60.0,10.0,1235.0,59.0,43.0,27.0,110,1302.0,6.0,1224,1308.0,44.0,0,0,,0.0,0.0,0.0,44.0,0.0
2015,1,3,6,OO,6429,N298SW,PSP,LAX,1450,1457.0,7.0,10.0,1507.0,52.0,43.0,26.0,110,1533.0,7.0,1542,1540.0,-2.0,0,0,,,,,,
2015,1,3,6,OO,6302,N221SW,PSP,LAX,1753,1912.0,79.0,11.0,1923.0,47.0,58.0,27.0,110,1950.0,20.0,1840,2010.0,90.0,0,0,,11.0,0.0,12.0,67.0,0.0
2015,1,3,6,OO,6445,N507CA,PSP,LAX,1950,2002.0,12.0,11.0,2013.0,51.0,46.0,23.0,110,2036.0,12.0,2041,2048.0,7.0,0,0,,,,,,
2015,1,4,7,OO,6442,N568SW,PSP,LAX,922,,,,,56.0,,,110,,,1018,,,0,1,A,,,,,
2015,1,4,7,OO,6312,N584SW,PSP,LAX,1125,1137.0,12.0,11.0,1148.0,59.0,45.0,26.0,110,1214.0,8.0,1224,1222.0,-2.0,0,0,,,,,,
2015,1,4,7,OO,6429,N585SW,PSP,LAX,1450,1640.0,110.0,12.0,1652.0,52.0,46.0,27.0,110,1719.0,7.0,1542,1726.0,104.0,0,0,,0.0,0.0,0.0,104.0,0.0
2015,1,4,7,OO,6302,N568SW,PSP,LAX,1743,1742.0,-1.0,13.0,1755.0,47.0,56.0,31.0,110,1826.0,12.0,1830,1838.0,8.0,0,0,,,,,,
2015,1,4,7,OO,6445,N579SW,PSP,LAX,1928,1925.0,-3.0,8.0,1933.0,52.0,65.0,27.0,110,2000.0,30.0,2020,2030.0,10.0,0,0,,,,,,
2015,1,5,1,OO,6442,N235SW,PSP,LAX,922,917.0,-5.0,10.0,927.0,56.0,46.0,29.0,110,956.0,7.0,1018,1003.0,-15.0,0,0,,,,,,
2015,1,5,1,OO,6429,N290SW,PSP,LAX,1450,1512.0,22.0,8.0,1520.0,52.0,41.0,26.0,110,1546.0,7.0,1542,1553.0,11.0,0,0,,,,,,
2015,1,5,1,OO,6302,N290SW,PSP,LAX,1743,1754.0,11.0,7.0,1801.0,47.0,61.0,27.0,110,1828.0,27.0,1830,1855.0,25.0,0,0,,14.0,0.0,0.0,11.0,0.0
