Year,Month,Day,Hour,Minute,DHI,DNI,Temperature,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Wind Speed
2015,1,1,0,30,0,0,2,0,0,0,0,1.9000000000000001
2015,1,1,1,30,0,0,1,0,0,0,0,1.9000000000000001
2015,1,1,2,30,0,0,1,0,0,0,0,1.9000000000000001
2015,1,1,3,30,0,0,1,0,0,0,0,1.9000000000000001
2015,1,1,4,30,0,0,1,0,0,0,0,2
2015,1,1,5,30,0,0,2,0,0,0,0,1.9000000000000001
2015,1,1,6,30,0,0,2,0,0,0,0,2
2015,1,1,7,30,34,465,5,84,34,465,84,2.6
2015,1,1,8,30,68,735,8,270,68,735,270,3.4000000000000004
2015,1,1,9,30,87,852,10,437,87,852,437,3.8000000000000003
2015,1,1,10,30,102,900,11,554,102,900,554,3.8000000000000003
2015,1,1,11,30,107,922,12,609,107,922,609,3.6
2015,1,1,12,30,105,920,13,598,105,920,598,3.4000000000000004
2015,1,1,13,30,101,876,13,518,101,876,518,3.3000000000000003
2015,1,1,14,30,86,797,12,380,86,797,380,2.8000000000000003
2015,1,1,15,30,62,631,9,202,62,631,202,1.8
2015,1,1,16,30,19,211,7,28,19,211,28,1.1
2015,1,1,17,30,0,0,6,0,0,0,0,1
2015,1,1,18,30,0,0,5,0,0,0,0,0.9
2015,1,1,19,30,0,0,5,0,0,0,0,0.9
2015,1,1,20,30,0,0,4,0,0,0,0,0.9
2015,1,1,21,30,0,0,4,0,0,0,0,1
2015,1,1,22,30,0,0,4,0,0,0,0,1.1
2015,1,1,23,30,0,0,4,0,0,0,0,1.2000000000000002
2015,1,2,0,30,0,0,4,0,0,0,0,1.3
2015,1,2,1,30,0,0,4,0,0,0,0,1.3
2015,1,2,2,30,0,0,4,0,0,0,0,1.3
2015,1,2,3,30,0,0,4,0,0,0,0,1.3
2015,1,2,4,30,0,0,4,0,0,0,0,1.3
2015,1,2,5,30,0,0,5,0,0,0,0,1.3
2015,1,2,6,30,0,0,5,0,0,0,0,1.1
2015,1,2,7,30,34,466,7,83,34,466,83,1.2000000000000002
2015,1,2,8,30,64,747,10,270,64,747,270,1.8
2015,1,2,9,30,82,862,13,435,82,862,435,2.3000000000000003
2015,1,2,10,30,96,907,14,552,96,907,552,2.7
2015,1,2,11,30,101,929,15,608,101,929,608,3
2015,1,2,12,30,99,926,16,597,99,926,597,3.1
2015,1,2,13,30,88,904,16,521,88,904,521,2.9000000000000004
2015,1,2,14,30,75,836,15,385,75,836,385,2.2
2015,1,2,15,30,54,688,12,208,54,688,208,1.3
2015,1,2,16,30,17,287,9,31,17,287,31,1
2015,1,2,17,30,0,0,9,0,0,0,0,0.9
2015,1,2,18,30,0,0,8,0,0,0,0,0.9
2015,1,2,19,30,0,0,7,0,0,0,0,1.1
2015,1,2,20,30,0,0,7,0,0,0,0,1.2000000000000002
2015,1,2,21,30,0,0,7,0,0,0,0,1.1
2015,1,2,22,30,0,0,7,0,0,0,0,1.1
2015,1,2,23,30,0,0,6,0,0,0,0,1.2000000000000002
2015,1,3,0,30,0,0,6,0,0,0,0,1.3
2015,1,3,1,30,0,0,6,0,0,0,0,1.3
2015,1,3,2,30,0,0,6,0,0,0,0,1.3
2015,1,3,3,30,0,0,6,0,0,0,0,1.3
