YEAR,MONTH,DAY,SCHEDULED_DEPARTURE,DISTANCE,HOUR
2015,1,1,922,110,9
2015,1,1,1125,110,11
2015,1,1,1450,110,14
2015,1,1,1743,110,17
2015,1,1,1928,110,19
2015,1,2,922,110,9
2015,1,2,1125,110,11
2015,1,2,1450,110,14
2015,1,2,1743,110,17
2015,1,2,1928,110,19
2015,1,3,1125,110,11
2015,1,3,1450,110,14
2015,1,3,1753,110,17
2015,1,3,1950,110,19
2015,1,4,922,110,9
2015,1,4,1125,110,11
2015,1,4,1450,110,14
2015,1,4,1743,110,17
2015,1,4,1928,110,19
2015,1,5,922,110,9
2015,1,5,1450,110,14
2015,1,5,1743,110,17
2015,1,5,1928,110,19
2015,1,6,615,110,6
2015,1,6,919,110,9
2015,1,6,1138,110,11
2015,1,6,1440,110,14
2015,1,6,1726,110,17
2015,1,6,1856,110,18
2015,1,7,919,110,9
2015,1,7,1138,110,11
2015,1,7,1440,110,14
2015,1,7,1726,110,17
2015,1,7,1856,110,18
2015,1,8,919,110,9
2015,1,8,1138,110,11
2015,1,8,1440,110,14
2015,1,8,1726,110,17
2015,1,8,1856,110,18
2015,1,9,919,110,9
2015,1,9,1138,110,11
2015,1,9,1440,110,14
2015,1,9,1726,110,17
2015,1,9,1856,110,18
2015,1,10,1019,110,10
2015,1,10,1217,110,12
2015,1,10,1512,110,15
2015,1,10,1726,110,17
2015,1,10,1856,110,18
2015,1,11,919,110,9
2015,1,11,1048,110,10
2015,1,11,1502,110,15
2015,1,11,1731,110,17
2015,1,11,1903,110,19
2015,1,12,919,110,9
2015,1,12,1138,110,11
2015,1,12,1440,110,14
2015,1,12,1726,110,17
2015,1,12,1856,110,18
2015,1,13,919,110,9
2015,1,13,1138,110,11
2015,1,13,1440,110,14
2015,1,13,1726,110,17
2015,1,13,1856,110,18
2015,1,14,919,110,9
2015,1,14,1138,110,11
2015,1,14,1440,110,14
2015,1,14,1726,110,17
2015,1,14,1856,110,18
2015,1,15,919,110,9
2015,1,15,1138,110,11
2015,1,15,1440,110,14
2015,1,15,1726,110,17
2015,1,15,1856,110,18
2015,1,16,919,110,9
2015,1,16,1138,110,11
2015,1,16,1440,110,14
2015,1,16,1726,110,17
2015,1,16,1856,110,18
2015,1,17,1019,110,10
2015,1,17,1217,110,12
2015,1,17,1512,110,15
2015,1,17,1726,110,17
2015,1,17,1856,110,18
2015,1,18,919,110,9
2015,1,18,1048,110,10
2015,1,18,1502,110,15
2015,1,18,1731,110,17
2015,1,18,1903,110,19
2015,1,19,919,110,9
2015,1,19,1138,110,11
2015,1,19,1440,110,14
2015,1,19,1726,110,17
2015,1,19,1856,110,18
2015,1,20,919,110,9
2015,1,20,1138,110,11
2015,1,20,1440,110,14
2015,1,20,1726,110,17
2015,1,20,1856,110,18
2015,1,21,919,110,9
2015,1,21,1138,110,11
2015,1,21,1440,110,14
2015,1,21,1726,110,17
2015,1,21,1856,110,18
2015,1,22,919,110,9
2015,1,22,1138,110,11
2015,1,22,1440,110,14
2015,1,22,1726,110,17
2015,1,22,1856,110,18
2015,1,23,919,110,9
2015,1,23,1138,110,11
2015,1,23,1440,110,14
2015,1,23,1726,110,17
2015,1,23,1856,110,18
2015,1,24,1019,110,10
2015,1,24,1217,110,12
2015,1,24,1512,110,15
2015,1,24,1726,110,17
2015,1,24,1856,110,18
2015,1,25,919,110,9
2015,1,25,1048,110,10
2015,1,25,1502,110,15
2015,1,25,1731,110,17
2015,1,25,1903,110,19
2015,1,26,919,110,9
2015,1,26,1138,110,11
2015,1,26,1440,110,14
2015,1,26,1726,110,17
2015,1,26,1856,110,18
2015,1,27,919,110,9
2015,1,27,1138,110,11
2015,1,27,1440,110,14
2015,1,27,1726,110,17
2015,1,27,1856,110,18
2015,1,28,919,110,9
2015,1,28,1138,110,11
2015,1,28,1440,110,14
2015,1,28,1726,110,17
2015,1,28,1856,110,18
2015,1,29,919,110,9
2015,1,29,1138,110,11
2015,1,29,1440,110,14
2015,1,29,1726,110,17
2015,1,29,1856,110,18
2015,1,30,919,110,9
2015,1,30,1138,110,11
2015,1,30,1440,110,14
2015,1,30,1726,110,17
2015,1,30,1856,110,18
2015,1,31,1019,110,10
2015,1,31,1217,110,12
2015,1,31,1512,110,15
2015,1,31,1726,110,17
2015,1,31,1856,110,18
2015,2,1,919,110,9
2015,2,1,1048,110,10
2015,2,1,1502,110,15
2015,2,1,1731,110,17
2015,2,1,1903,110,19
2015,2,2,919,110,9
2015,2,2,1138,110,11
2015,2,2,1440,110,14
2015,2,2,1726,110,17
2015,2,2,1856,110,18
2015,2,3,919,110,9
2015,2,3,1138,110,11
2015,2,3,1440,110,14
2015,2,3,1726,110,17
2015,2,3,1856,110,18
2015,2,4,919,110,9
2015,2,4,1138,110,11
2015,2,4,1440,110,14
2015,2,4,1726,110,17
2015,2,4,1856,110,18
2015,2,5,919,110,9
2015,2,5,1138,110,11
2015,2,5,1440,110,14
2015,2,5,1726,110,17
2015,2,5,1856,110,18
2015,2,6,919,110,9
2015,2,6,1138,110,11
2015,2,6,1440,110,14
2015,2,6,1726,110,17
2015,2,6,1856,110,18
2015,2,7,1019,110,10
2015,2,7,1217,110,12
2015,2,7,1512,110,15
2015,2,7,1726,110,17
2015,2,7,1856,110,18
2015,2,8,919,110,9
2015,2,8,1048,110,10
2015,2,8,1502,110,15
2015,2,8,1731,110,17
2015,2,8,1903,110,19
2015,2,9,919,110,9
2015,2,9,1138,110,11
2015,2,9,1440,110,14
2015,2,9,1726,110,17
2015,2,9,1856,110,18
2015,2,10,919,110,9
2015,2,10,1138,110,11
2015,2,10,1440,110,14
2015,2,10,1726,110,17
2015,2,10,1856,110,18
2015,2,11,919,110,9
2015,2,11,1138,110,11
2015,2,11,1440,110,14
2015,2,11,1726,110,17
2015,2,11,1856,110,18
2015,2,12,919,110,9
2015,2,12,1131,110,11
2015,2,12,1442,110,14
2015,2,12,1724,110,17
2015,2,12,1857,110,18
2015,2,13,919,110,9
2015,2,13,1131,110,11
2015,2,13,1442,110,14
2015,2,13,1724,110,17
2015,2,13,1857,110,18
2015,2,14,600,110,6
2015,2,14,1144,110,11
2015,2,14,1724,110,17
2015,2,14,1857,110,18
2015,2,15,830,110,8
2015,2,15,1145,110,11
2015,2,15,1442,110,14
2015,2,15,1724,110,17
2015,2,15,1857,110,18
2015,2,16,919,110,9
2015,2,16,1131,110,11
2015,2,16,1442,110,14
2015,2,16,1724,110,17
2015,2,16,1857,110,18
2015,2,17,919,110,9
2015,2,17,1131,110,11
2015,2,17,1442,110,14
2015,2,17,1724,110,17
2015,2,17,1857,110,18
2015,2,18,919,110,9
2015,2,18,1131,110,11
2015,2,18,1442,110,14
2015,2,18,1724,110,17
2015,2,18,1857,110,18
2015,2,19,919,110,9
2015,2,19,1131,110,11
2015,2,19,1442,110,14
2015,2,19,1724,110,17
2015,2,19,1857,110,18
2015,2,20,919,110,9
2015,2,20,1131,110,11
2015,2,20,1442,110,14
2015,2,20,1724,110,17
2015,2,20,1857,110,18
2015,2,21,600,110,6
2015,2,21,1144,110,11
2015,2,21,1724,110,17
2015,2,21,1857,110,18
2015,2,22,830,110,8
2015,2,22,1145,110,11
2015,2,22,1442,110,14
2015,2,22,1724,110,17
2015,2,22,1857,110,18
2015,2,23,919,110,9
2015,2,23,1131,110,11
2015,2,23,1442,110,14
2015,2,23,1724,110,17
2015,2,23,1857,110,18
2015,2,24,919,110,9
2015,2,24,1131,110,11
2015,2,24,1442,110,14
2015,2,24,1724,110,17
2015,2,24,1857,110,18
2015,2,25,919,110,9
2015,2,25,1131,110,11
2015,2,25,1442,110,14
2015,2,25,1724,110,17
2015,2,25,1857,110,18
2015,2,26,919,110,9
2015,2,26,1131,110,11
2015,2,26,1442,110,14
2015,2,26,1724,110,17
2015,2,26,1857,110,18
2015,2,27,919,110,9
2015,2,27,1131,110,11
2015,2,27,1442,110,14
2015,2,27,1724,110,17
2015,2,27,1857,110,18
2015,2,28,600,110,6
2015,2,28,1144,110,11
2015,2,28,1724,110,17
2015,2,28,1857,110,18
2015,3,1,830,110,8
2015,3,1,1145,110,11
2015,3,1,1442,110,14
2015,3,1,1724,110,17
2015,3,1,1857,110,18
2015,3,2,919,110,9
2015,3,2,1131,110,11
2015,3,2,1442,110,14
2015,3,2,1724,110,17
2015,3,2,1857,110,18
2015,3,3,919,110,9
2015,3,3,1131,110,11
2015,3,3,1442,110,14
2015,3,3,1724,110,17
2015,3,3,1857,110,18
2015,3,4,919,110,9
2015,3,4,1131,110,11
2015,3,4,1442,110,14
2015,3,4,1724,110,17
2015,3,4,1857,110,18
2015,3,5,925,110,9
2015,3,5,1139,110,11
2015,3,5,1545,110,15
2015,3,5,1910,110,19
2015,3,6,925,110,9
2015,3,6,1139,110,11
2015,3,6,1545,110,15
2015,3,6,1910,110,19
2015,3,7,540,110,5
2015,3,7,1152,110,11
2015,3,7,1543,110,15
2015,3,7,1935,110,19
2015,3,8,925,110,9
2015,3,8,1139,110,11
2015,3,8,1545,110,15
2015,3,8,1910,110,19
2015,3,9,925,110,9
2015,3,9,1139,110,11
2015,3,9,1545,110,15
2015,3,9,1910,110,19
2015,3,10,925,110,9
2015,3,10,1139,110,11
2015,3,10,1545,110,15
2015,3,10,1910,110,19
2015,3,11,925,110,9
2015,3,11,1139,110,11
2015,3,11,1545,110,15
2015,3,11,1910,110,19
2015,3,12,925,110,9
2015,3,12,1139,110,11
2015,3,12,1545,110,15
2015,3,12,1910,110,19
2015,3,13,925,110,9
2015,3,13,1139,110,11
2015,3,13,1545,110,15
2015,3,13,1910,110,19
2015,3,14,540,110,5
2015,3,14,1152,110,11
2015,3,14,1543,110,15
2015,3,14,1935,110,19
2015,3,15,925,110,9
2015,3,15,1139,110,11
2015,3,15,1545,110,15
2015,3,15,1910,110,19
2015,3,16,925,110,9
2015,3,16,1139,110,11
2015,3,16,1545,110,15
2015,3,16,1910,110,19
2015,3,17,925,110,9
2015,3,17,1139,110,11
2015,3,17,1545,110,15
2015,3,17,1910,110,19
2015,3,18,925,110,9
2015,3,18,1139,110,11
2015,3,18,1545,110,15
2015,3,18,1910,110,19
2015,3,19,925,110,9
2015,3,19,1139,110,11
2015,3,19,1545,110,15
2015,3,19,1910,110,19
2015,3,20,925,110,9
2015,3,20,1139,110,11
2015,3,20,1545,110,15
2015,3,20,1910,110,19
2015,3,21,540,110,5
2015,3,21,1152,110,11
2015,3,21,1543,110,15
2015,3,21,1935,110,19
2015,3,22,925,110,9
2015,3,22,1139,110,11
2015,3,22,1545,110,15
2015,3,22,1910,110,19
2015,3,23,925,110,9
2015,3,23,1139,110,11
2015,3,23,1545,110,15
2015,3,23,1910,110,19
2015,3,24,925,110,9
2015,3,24,1139,110,11
2015,3,24,1545,110,15
2015,3,24,1910,110,19
2015,3,25,925,110,9
2015,3,25,1139,110,11
2015,3,25,1545,110,15
2015,3,25,1910,110,19
2015,3,26,925,110,9
2015,3,26,1139,110,11
2015,3,26,1545,110,15
2015,3,26,1910,110,19
2015,3,27,925,110,9
2015,3,27,1139,110,11
2015,3,27,1545,110,15
2015,3,27,1910,110,19
2015,3,28,540,110,5
2015,3,28,1152,110,11
2015,3,28,1543,110,15
2015,3,28,1935,110,19
2015,3,29,925,110,9
2015,3,29,1139,110,11
2015,3,29,1545,110,15
2015,3,29,1910,110,19
2015,3,30,925,110,9
2015,3,30,1139,110,11
2015,3,30,1545,110,15
2015,3,30,1910,110,19
2015,3,31,925,110,9
2015,3,31,1139,110,11
2015,3,31,1545,110,15
2015,3,31,1910,110,19
2015,4,1,925,110,9
2015,4,1,1139,110,11
2015,4,1,1545,110,15
2015,4,1,1910,110,19
2015,4,2,925,110,9
2015,4,2,1139,110,11
2015,4,2,1545,110,15
2015,4,2,1910,110,19
2015,4,3,925,110,9
2015,4,3,1139,110,11
2015,4,3,1545,110,15
2015,4,3,1910,110,19
2015,4,4,540,110,5
2015,4,4,1543,110,15
2015,4,4,1935,110,19
2015,4,5,1139,110,11
2015,4,5,1545,110,15
2015,4,5,1910,110,19
2015,4,6,925,110,9
2015,4,6,1139,110,11
2015,4,6,1545,110,15
2015,4,6,1910,110,19
2015,4,7,820,110,8
2015,4,7,1112,110,11
2015,4,7,1700,110,17
2015,4,8,820,110,8
2015,4,8,1112,110,11
2015,4,8,1700,110,17
2015,4,9,820,110,8
2015,4,9,1112,110,11
2015,4,9,1700,110,17
2015,4,10,820,110,8
2015,4,10,1112,110,11
2015,4,10,1700,110,17
2015,4,11,1718,110,17
2015,4,12,820,110,8
2015,4,12,1112,110,11
2015,4,12,1700,110,17
2015,4,13,820,110,8
2015,4,13,1112,110,11
2015,4,13,1700,110,17
2015,4,14,820,110,8
2015,4,14,1112,110,11
2015,4,14,1700,110,17
2015,4,15,820,110,8
2015,4,15,1112,110,11
2015,4,15,1700,110,17
2015,4,16,820,110,8
2015,4,16,1112,110,11
2015,4,16,1700,110,17
2015,4,17,820,110,8
2015,4,17,1112,110,11
2015,4,17,1700,110,17
2015,4,18,1718,110,17
2015,4,19,820,110,8
2015,4,19,1112,110,11
2015,4,19,1700,110,17
2015,4,20,820,110,8
2015,4,20,1112,110,11
2015,4,20,1700,110,17
2015,4,21,820,110,8
2015,4,21,1112,110,11
2015,4,21,1700,110,17
2015,4,22,820,110,8
2015,4,22,1112,110,11
2015,4,22,1700,110,17
2015,4,23,820,110,8
2015,4,23,1112,110,11
2015,4,23,1700,110,17
2015,4,24,820,110,8
2015,4,24,1112,110,11
2015,4,24,1700,110,17
2015,4,25,1718,110,17
2015,4,26,820,110,8
2015,4,26,1112,110,11
2015,4,26,1700,110,17
2015,4,27,820,110,8
2015,4,27,1112,110,11
2015,4,27,1700,110,17
2015,4,28,820,110,8
2015,4,28,1112,110,11
2015,4,28,1700,110,17
2015,4,29,820,110,8
2015,4,29,1112,110,11
2015,4,29,1700,110,17
2015,4,30,820,110,8
2015,4,30,1112,110,11
2015,4,30,1700,110,17
2015,5,1,820,110,8
2015,5,1,1112,110,11
2015,5,1,1700,110,17
2015,5,2,1718,110,17
2015,5,3,820,110,8
2015,5,3,1112,110,11
2015,5,3,1700,110,17
2015,5,4,820,110,8
2015,5,4,1112,110,11
2015,5,4,1700,110,17
2015,5,5,820,110,8
2015,5,5,1110,110,11
2015,5,5,1700,110,17
2015,5,6,617,110,6
2015,5,7,624,110,6
2015,5,8,624,110,6
2015,5,9,630,110,6
2015,5,10,624,110,6
2015,5,11,624,110,6
2015,5,12,624,110,6
2015,5,13,624,110,6
2015,5,14,624,110,6
2015,5,15,624,110,6
2015,5,16,630,110,6
2015,5,17,624,110,6
2015,5,18,624,110,6
2015,5,19,624,110,6
2015,5,20,624,110,6
2015,5,21,624,110,6
2015,5,22,624,110,6
2015,5,23,630,110,6
2015,5,24,616,110,6
2015,5,25,600,110,6
2015,5,26,624,110,6
2015,5,27,600,110,6
2015,5,28,624,110,6
2015,5,29,624,110,6
2015,5,30,630,110,6
2015,5,31,624,110,6
2015,6,1,655,110,6
2015,6,2,655,110,6
2015,6,3,655,110,6
2015,6,4,642,110,6
2015,6,5,709,110,7
2015,6,6,706,110,7
2015,6,7,706,110,7
2015,6,8,709,110,7
2015,6,9,709,110,7
2015,6,10,709,110,7
2015,6,11,709,110,7
2015,6,12,709,110,7
2015,6,13,655,110,6
2015,6,14,706,110,7
2015,6,15,709,110,7
2015,6,16,709,110,7
2015,6,17,709,110,7
2015,6,18,709,110,7
2015,6,19,709,110,7
2015,6,20,706,110,7
2015,6,21,706,110,7
2015,6,22,709,110,7
2015,6,23,709,110,7
2015,6,24,709,110,7
2015,6,25,709,110,7
2015,6,26,709,110,7
2015,6,27,655,110,6
2015,6,28,706,110,7
2015,6,29,709,110,7
2015,6,30,709,110,7
2015,7,1,709,110,7
2015,7,2,656,110,6
2015,7,3,709,110,7
2015,7,5,717,110,7
2015,7,6,656,110,6
2015,7,7,656,110,6
2015,7,8,656,110,6
2015,7,9,656,110,6
2015,7,10,656,110,6
2015,7,11,600,110,6
2015,7,12,717,110,7
2015,7,13,656,110,6
2015,7,14,656,110,6
2015,7,15,656,110,6
2015,7,16,656,110,6
2015,7,17,656,110,6
2015,7,18,600,110,6
2015,7,19,717,110,7
2015,7,20,656,110,6
2015,7,21,656,110,6
2015,7,22,656,110,6
2015,7,23,656,110,6
2015,7,24,656,110,6
2015,7,25,600,110,6
2015,7,26,717,110,7
2015,7,27,656,110,6
2015,7,28,656,110,6
2015,7,29,656,110,6
2015,7,30,656,110,6
2015,7,31,656,110,6
2015,8,1,600,110,6
2015,8,2,717,110,7
2015,8,3,656,110,6
2015,8,4,656,110,6
2015,8,5,656,110,6
2015,8,6,656,110,6
2015,8,7,656,110,6
2015,8,8,600,110,6
2015,8,9,717,110,7
2015,8,10,656,110,6
2015,8,11,656,110,6
2015,8,12,656,110,6
2015,8,13,656,110,6
2015,8,14,656,110,6
2015,8,15,600,110,6
2015,8,16,717,110,7
2015,8,17,656,110,6
2015,8,18,727,110,7
2015,8,19,729,110,7
2015,8,20,727,110,7
2015,8,21,727,110,7
2015,8,22,727,110,7
2015,8,23,727,110,7
2015,8,24,727,110,7
2015,8,25,727,110,7
2015,8,26,734,110,7
2015,8,27,727,110,7
2015,8,28,727,110,7
2015,8,29,727,110,7
2015,8,30,727,110,7
2015,8,31,727,110,7
2015,9,1,727,110,7
2015,9,2,729,110,7
2015,9,3,727,110,7
2015,9,4,727,110,7
2015,9,5,727,110,7
2015,9,6,727,110,7
2015,9,7,727,110,7
2015,9,8,727,110,7
2015,9,9,727,110,7
2015,9,10,727,110,7
2015,9,11,727,110,7
2015,9,12,727,110,7
2015,9,13,727,110,7
2015,9,14,727,110,7
2015,9,15,727,110,7
2015,9,16,729,110,7
2015,9,17,727,110,7
2015,9,18,727,110,7
2015,9,19,727,110,7
2015,9,20,727,110,7
2015,9,21,727,110,7
2015,9,22,727,110,7
2015,9,23,729,110,7
2015,9,24,705,110,7
2015,9,25,705,110,7
2015,9,26,705,110,7
2015,9,27,600,110,6
2015,9,28,705,110,7
2015,9,29,705,110,7
2015,9,30,705,110,7
2015,11,1,655,110,6
2015,11,2,740,110,7
2015,11,3,740,110,7
2015,11,4,740,110,7
2015,11,5,740,110,7
2015,11,6,740,110,7
2015,11,7,740,110,7
2015,11,8,659,110,6
2015,11,9,740,110,7
2015,11,10,740,110,7
2015,11,11,740,110,7
2015,11,12,740,110,7
2015,11,13,740,110,7
2015,11,14,740,110,7
2015,11,15,659,110,6
2015,11,16,740,110,7
2015,11,17,740,110,7
2015,11,18,740,110,7
2015,11,19,740,110,7
2015,11,20,740,110,7
2015,11,21,740,110,7
2015,11,22,659,110,6
2015,11,23,740,110,7
2015,11,24,730,110,7
2015,11,25,740,110,7
2015,11,26,740,110,7
2015,11,27,740,110,7
2015,11,27,1452,110,14
2015,11,28,719,110,7
2015,11,29,725,110,7
2015,11,30,740,110,7
2015,12,1,609,110,6
2015,12,2,735,110,7
2015,12,3,735,110,7
2015,12,4,735,110,7
2015,12,5,735,110,7
2015,12,6,735,110,7
2015,12,7,735,110,7
2015,12,8,735,110,7
2015,12,9,735,110,7
2015,12,10,735,110,7
2015,12,11,735,110,7
2015,12,12,735,110,7
2015,12,13,735,110,7
2015,12,14,735,110,7
2015,12,15,735,110,7
2015,12,16,735,110,7
2015,12,17,654,110,6
2015,12,18,651,110,6
2015,12,19,623,110,6
2015,12,20,650,110,6
2015,12,21,651,110,6
2015,12,22,651,110,6
2015,12,23,650,110,6
2015,12,24,651,110,6
2015,12,25,650,110,6
2015,12,26,600,110,6
2015,12,27,700,110,7
2015,12,28,651,110,6
2015,12,29,650,110,6
2015,12,30,651,110,6
2015,12,31,651,110,6
2015,7,4,0,0,5
2015,1,1,0,0,0
2015,1,1,0,0,1
2015,1,1,0,0,2
2015,1,1,0,0,3
2015,1,1,0,0,4
2015,1,1,0,0,5
2015,1,1,0,0,6
2015,1,1,0,0,7
2015,1,1,0,0,8
2015,1,1,0,0,10
2015,1,1,0,0,12
2015,1,1,0,0,13
2015,1,1,0,0,15
2015,1,1,0,0,16
2015,1,1,0,0,18
2015,1,1,0,0,20
2015,1,1,0,0,21
2015,1,1,0,0,22
2015,1,1,0,0,23
2015,1,2,0,0,0
2015,1,2,0,0,1
2015,1,2,0,0,2
2015,1,2,0,0,3
2015,1,2,0,0,4
2015,1,2,0,0,5
2015,1,2,0,0,6
2015,1,2,0,0,7
2015,1,2,0,0,8
2015,1,2,0,0,10
2015,1,2,0,0,12
2015,1,2,0,0,13
2015,1,2,0,0,15
2015,1,2,0,0,16
2015,1,2,0,0,18
2015,1,2,0,0,20
2015,1,2,0,0,21
2015,1,2,0,0,22
2015,1,2,0,0,23
2015,1,3,0,0,0
2015,1,3,0,0,1
2015,1,3,0,0,2
2015,1,3,0,0,3
2015,1,3,0,0,4
2015,1,3,0,0,5
2015,1,3,0,0,6
2015,1,3,0,0,7
2015,1,3,0,0,8
2015,1,3,0,0,9
2015,1,3,0,0,10
2015,1,3,0,0,12
2015,1,3,0,0,13
2015,1,3,0,0,15
2015,1,3,0,0,16
2015,1,3,0,0,18
2015,1,3,0,0,20
2015,1,3,0,0,21
2015,1,3,0,0,22
2015,1,3,0,0,23
2015,1,4,0,0,0
2015,1,4,0,0,1
2015,1,4,0,0,2
2015,1,4,0,0,3
2015,1,4,0,0,4
2015,1,4,0,0,5
2015,1,4,0,0,6
2015,1,4,0,0,7
2015,1,4,0,0,8
2015,1,4,0,0,10
2015,1,4,0,0,12
2015,1,4,0,0,13
2015,1,4,0,0,15
2015,1,4,0,0,16
2015,1,4,0,0,18
2015,1,4,0,0,20
2015,1,4,0,0,21
2015,1,4,0,0,22
2015,1,4,0,0,23
2015,1,5,0,0,0
2015,1,5,0,0,1
2015,1,5,0,0,2
2015,1,5,0,0,3
2015,1,5,0,0,4
2015,1,5,0,0,5
2015,1,5,0,0,6
2015,1,5,0,0,7
2015,1,5,0,0,8
2015,1,5,0,0,10
2015,1,5,0,0,11
2015,1,5,0,0,12
2015,1,5,0,0,13
2015,1,5,0,0,15
2015,1,5,0,0,16
2015,1,5,0,0,18
2015,1,5,0,0,20
2015,1,5,0,0,21
2015,1,5,0,0,22
2015,1,5,0,0,23
2015,1,6,0,0,0
2015,1,6,0,0,1
2015,1,6,0,0,2
2015,1,6,0,0,3
2015,1,6,0,0,4
2015,1,6,0,0,5
2015,1,6,0,0,7
2015,1,6,0,0,8
2015,1,6,0,0,10
2015,1,6,0,0,12
2015,1,6,0,0,13
2015,1,6,0,0,15
2015,1,6,0,0,16
2015,1,6,0,0,19
2015,1,6,0,0,20
2015,1,6,0,0,21
2015,1,6,0,0,22
2015,1,6,0,0,23
2015,1,7,0,0,0
2015,1,7,0,0,1
2015,1,7,0,0,2
2015,1,7,0,0,3
2015,1,7,0,0,4
2015,1,7,0,0,5
2015,1,7,0,0,6
2015,1,7,0,0,7
2015,1,7,0,0,8
2015,1,7,0,0,10
2015,1,7,0,0,12
2015,1,7,0,0,13
2015,1,7,0,0,15
2015,1,7,0,0,16
2015,1,7,0,0,19
2015,1,7,0,0,20
2015,1,7,0,0,21
2015,1,7,0,0,22
2015,1,7,0,0,23
2015,1,8,0,0,0
2015,1,8,0,0,1
2015,1,8,0,0,2
2015,1,8,0,0,3
2015,1,8,0,0,4
2015,1,8,0,0,5
2015,1,8,0,0,6
2015,1,8,0,0,7
2015,1,8,0,0,8
2015,1,8,0,0,10
2015,1,8,0,0,12
